,Parcel ID,Address,Sale Date,Sale Price,Qualified Sales,Reason,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,lat,long
173,10069 001015,3115 FORK RD,7/12/23,"$306,000.00 ",Qualified,FM,0.6,Residential,1987,1058,$289.22 ,34.3187524,-83.9025992
174,15047Y000020,6763 TRAILSIDE DR,7/12/23,"$799,000.00 ",Qualified,FM,0.52,Residential,2017,3718,$214.90 ,34.1561489,-83.9078552
175,10115 000105,3748 CORINTH DR,7/11/23,"$449,000.00 ",Qualified,FM,0.62,Residential,1978,2346,$191.39 ,34.3736526,-83.8616948
176,08151 002025,5202 CLUB WILDWOOD DR,7/11/23,"$680,000.00 ",Qualified,FM,0.4,Residential,2013,3318,$204.94 ,34.1518551,-83.9493284
177,15041F000046,7238 GRAND REUNION DR,7/11/23,"$532,500.00 ",Qualified,FM,0.21,Residential,2003,2576,$206.72 ,34.1182892,-83.8693147
178,08131 002018,5981 WARPATH RD,7/11/23,"$500,000.00 ",Qualified,FM,1.26,Residential,1968,1248,$400.64 ,34.1893746,-83.9459578
179,15041 000593,5011 ADLER CT,7/11/23,"$586,285.00 ",Qualified,FM,0.16,Residential,2023,1864,$314.53 ,34.1015417,-83.8625658
180,15039 000141,6044 SUMMERALL CIR,7/10/23,"$480,000.00 ",Qualified,FM,0.18,Residential,2016,2576,$186.34 ,34.1230488,-83.8328633
181,15037B000033L,4531 STRICKLAND BLVD,7/10/23,"$260,000.00 ",Qualified,FM,0.61,Residential,1980,1293,$201.08 ,34.1867012,-83.8442981
182,15047 000673,6859 LAKE STERLING BLVD,7/10/23,"$810,000.00 ",Qualified,FM,0.32,Residential,2018,3322,$243.83 ,34.1496376,-83.8979223
183,12025 000042,4028 SUTTON RD,7/7/23,"$199,000.00 ",Qualified,FM,1.21,Residential,1957,1136,$175.18 ,34.4020301,-83.8069613
184,15036B000085,3890 POPLAR SPRINGS RD,7/7/23,"$130,000.00 ",Qualified,FM,1.25,Residential,1985,1384,$93.93 ,34.2084609,-83.8338162
185,15014F000033,3301 BLUFFTON DR,7/7/23,"$352,000.00 ",Qualified,FM,0.82,Residential,2007,1760,$200.00 ,34.2246745,-83.7466299
186,10097 000094,4022 FIELDSTONE DR,7/7/23,"$350,000.00 ",Qualified,FM,0.65,Residential,1988,1871,$187.07 ,34.3559924,-83.88687
187,11084 000028,5029 ELROD PL,7/7/23,"$310,000.00 ",Qualified,FM,1.02,Residential,1986,1625,$190.77 ,34.4041598,-83.9027234
188,01077 001071,1338 NE BURNAM WOOD DR,7/7/23,"$480,000.00 ",Qualified,FM,0.62,Residential,2020,3618,$132.67 ,34.321289,-83.8212191
189,08077 002035,5610 SALLEE AVE,7/7/23,"$115,000.00 ",Qualified,FM,0.34,Residential,1950,996,$115.46 ,34.2295377,-83.9198139
190,10069 008013,3020 SPRINGDALE PARK DR,7/7/23,"$220,000.00 ",Qualified,FM,0.74,Residential,1964,1251,$175.86 ,34.3208885,-83.9090553
191,01073 002040,476 NW HOLLY PL,7/7/23,"$293,500.00 ",Qualified,FM,0.38,Residential,1959,1340,$219.03 ,34.3162343,-83.8384152
192,12047 000073,4518 HIGHLAND GATE PKWY,7/7/23,"$398,900.00 ",Qualified,FM,0.38,Residential,2021,2413,$165.31 ,34.4116965,-83.7919747
193,08099A000017,5724 NEWBERRY POINT DR,7/7/23,"$480,000.00 ",Qualified,FM,0.59,Residential,1999,3517,$136.48 ,34.2063726,-83.9212207
194,10014 000028,5719 ROCKY RIDGE RUN,7/7/23,"$369,900.00 ",Qualified,FM,1.08,Residential,2016,1276,$289.89 ,34.376456,-83.957058
195,01069 002023,317 NW VININGS WALK,7/7/23,"$665,000.00 ",Qualified,FM,0.23,Residential,2006,2997,$221.89 ,34.3111801,-83.8320139
196,10131C000036,4821 HIGHLAND CIR,7/7/23,"$750,000.00 ",Qualified,FM,3.13,Residential,1999,2682,$279.64 ,34.391893,-83.8238092
197,15041H000159,3130 PERIMETER CIR,7/7/23,"$600,000.00 ",Qualified,FM,0.34,Residential,2012,3232,$185.64 ,34.1047785,-83.8850485
198,10139 000094A,3006 SCENIC DR,7/7/23,"$187,500.00 ",Qualified,FM,1.16,Residential,1959,1100,$170.45 ,34.3620141,-83.8132202
199,15037K000022,4082 CRABAPPLE DR,7/7/23,"$359,000.00 ",Qualified,FM,0.79,Residential,1994,1449,$247.76 ,34.2027429,-83.8293827
200,15024 000054,3173 WALLACE RD,7/6/23,"$50,000.00 ",Qualified,FM,2,Residential,1946,825,$60.61 ,34.2326972,-83.7723394
201,01039A000023,605 NE CANDLER ST,7/6/23,"$175,000.00 ",Qualified,FM,0.05,Residential,1983,792,$220.96 ,34.3084684,-83.824492
202,01074 001017V,1191 NE RIVERSIDE TER,7/6/23,"$269,900.00 ",Qualified,FM,0.03,Residential,2002,1667,$161.91 ,34.3179514,-83.8285229
203,15047 000302,7920 BENCHMARK DR,7/6/23,"$538,000.00 ",Qualified,FM,0.27,Residential,2004,2362,$227.77 ,34.139016,-83.8994123
204,08065 000342,5150 WATCHMANS CV,7/6/23,"$510,000.00 ",Qualified,FM,0.16,Residential,2021,2705,$188.54 ,34.242818,-83.910224
205,08113 001170,5560 GARENS WAY,7/6/23,"$370,000.00 ",Qualified,FM,0.06,Residential,2020,2021,$183.08 ,34.1813871,-83.9226036
206,08024 006145,4514 SW SILVER OAK DR,7/6/23,"$408,010.00 ",Qualified,FM,0.2,Residential,2023,1786,$228.45 ,34.2532969,-83.8672029
207,15039Q000031,6502 GARDENSIDE CIR,7/6/23,"$415,000.00 ",Qualified,FM,0.16,Residential,2012,1533,$270.71 ,34.1340796,-83.8516302
208,15037H000038,4421 OXBURGH PARK,7/6/23,"$440,000.00 ",Qualified,FM,0.6,Residential,1993,2443,$180.11 ,34.1992317,-83.8473636
209,15041F000031,7342 FIREFLY CT,7/6/23,"$500,000.00 ",Qualified,FM,0.6,Residential,2003,1930,$259.07 ,34.1147682,-83.8664574
210,08098A000108,4905 VIREO DR,7/6/23,"$311,500.00 ",Qualified,FM,0.02,Residential,2003,1692,$184.10 ,34.1892874,-83.9160889
211,09119 000018,173 CLARKS BRIDGE RD,7/6/23,"$690,000.00 ",Qualified,FM,2.9,Residential,2022,2451,$281.52 ,34.3397868,-83.8007847
212,15039F000141,5924 PARK BEND AVE,7/6/23,"$540,000.00 ",Qualified,FM,0.24,Residential,2017,3042,$177.51 ,34.1278361,-83.8298799
213,15041D000265,6407 SYCAMORE DR,7/6/23,"$650,000.00 ",Qualified,FM,0.37,Residential,2016,3767,$172.55 ,34.1294736,-83.8699566
214,10145 000046,3621 GRIFFIN DR,7/5/23,"$334,900.00 ",Qualified,FM,0.98,Residential,1983,1602,$209.05 ,34.3685286,-83.8011164
215,08138 001174,6360 MARBLE HEAD DR,7/5/23,"$395,000.00 ",Qualified,FM,0.66,Residential,1999,1614,$244.73 ,34.1576086,-83.9364861
216,15036C000063,3703 BOLDING RD,7/5/23,"$310,000.00 ",Qualified,FM,0.42,Residential,2003,1042,$297.50 ,34.218263,-83.8575946
217,01070 003061,1001 NW HOLLY DR,7/5/23,"$290,000.00 ",Qualified,FM,0.19,Residential,1997,1275,$227.45 ,34.3130578,-83.8332569
218,10007 000056,6113 FOXMOOR CT,7/5/23,"$549,900.00 ",Qualified,FM,0.59,Residential,1999,2546,$215.99 ,34.3569228,-83.9692793
219,1.50E+32,3493 NAVIGATOR LN,7/5/23,"$380,000.00 ",Qualified,FM,6.3,Residential,2014,1852,$205.18 ,34.179281,-83.76634
220,09071 007004,6009 CHATTAHOOCHEE ST,7/5/23,"$265,000.00 ",Qualified,FM,0.54,Residential,1989,1194,$221.94 ,34.389268,-83.666912
221,15044L000050,3747 CHESAPEAKE TRACE LN,7/5/23,"$198,000.00 ",Qualified,FM,0.26,Residential,2000,1264,$156.65 ,34.2068075,-83.8655877
222,01117 005001,821 NW LAKEMONT DR,7/3/23,"$320,000.00 ",Qualified,FM,0.66,Residential,1953,1660,$192.77 ,34.2996384,-83.8513402
223,08033 000037,3276 PARKER RD,7/3/23,"$245,000.00 ",Qualified,FM,0.42,Residential,1978,1344,$182.29 ,34.2698138,-83.8895194
224,08131 002010,5951 WARPATH RD,7/3/23,"$265,000.00 ",Qualified,FM,0.44,Residential,1980,1463,$181.13 ,34.1918173,-83.9454615
225,10029 000084,5416 LATHAM MANOR DR,7/3/23,"$335,000.00 ",Qualified,FM,0.81,Residential,2012,1327,$252.45 ,34.3921105,-83.9470745
226,15044H000099,4311 FALCON CREST DR,7/3/23,"$349,000.00 ",Qualified,FM,0.89,Residential,1993,1194,$292.29 ,34.1958737,-83.8788797
227,15029C000076,4502 HOLLY FOREST DR,6/30/23,"$505,000.00 ",Qualified,FM,1.05,Residential,1992,3254,$155.19 ,34.1930677,-83.8082463
228,01027 001024,800 SW WEST AVE,6/30/23,"$235,000.00 ",Qualified,FM,0.37,Residential,1960,1002,$234.53 ,34.2960513,-83.83596928
229,15044 000258,4518 MEADOWLAND WAY,6/30/23,"$790,000.00 ",Qualified,FM,0.81,Residential,2006,3885,$203.35 ,34.182155,-83.879405
230,01111 001041,745 NW HONEYSUCKLE RD,6/30/23,"$590,000.00 ",Qualified,FM,1.13,Residential,1964,1996,$295.59 ,34.3210848,-83.8498076
231,15041F000001,7366 GRAND REUNION DR,6/30/23,"$585,000.00 ",Qualified,FM,0.3,Residential,2013,2990,$195.65 ,34.1141784,-83.8676583
232,15039H000013,6411 HICKORY SPRINGS CIR,6/30/23,"$606,000.00 ",Qualified,FM,0.21,Residential,2007,2474,$244.95 ,34.1211476,-83.852482
233,08034 000437,3765 SW CRESSWIND PKWY,6/30/23,"$680,000.00 ",Qualified,FM,0.17,Residential,2019,2901,$234.40 ,34.2739785,-83.8915407
234,10114A000047,3505 NANCY PL,6/30/23,"$418,000.00 ",Qualified,FM,0.67,Residential,1996,2715,$153.96 ,34.3653105,-83.8572633
235,15015H000013,3434 ONE HORSE LN,6/30/23,"$250,000.00 ",Qualified,FM,0.71,Residential,2003,1302,$192.01 ,34.2570362,-83.7229645
236,15037 000259,4438 PARK ROYAL DR,6/30/23,"$1,300,000.00 ",Qualified,FM,0.63,Residential,2016,3509,$370.48 ,34.203094,-83.8393888
237,01075A000046,1235 NE RIVERSIDE DR,6/30/23,"$200,000.00 ",Qualified,FM,0.03,Residential,1969,1280,$156.25 ,34.3199273,-83.8271084
238,10076 000087,4203 PRICE RD,6/30/23,"$190,000.00 ",Qualified,FM,0.58,Residential,1997,2636,$72.08 ,34.378943,-83.9018956
239,1.50E+86,2507 REPRESENTATIVE WAY,6/30/23,"$550,000.00 ",Qualified,FM,0.34,Residential,2003,3066,$179.39 ,34.1095107,-83.8835167
240,01083 001080,1526 NE WOODLAND CT,6/30/23,"$360,000.00 ",Qualified,FM,0.19,Residential,1988,1491,$241.45 ,34.320721,-83.813386
241,08031 005110,3626 CANYON SPRINGS DR,6/30/23,"$325,000.00 ",Qualified,FM,0.07,Residential,2021,1726,$188.30 ,34.254974,-83.8815708
242,08119 000032,6013 CATAMARAN CT,6/30/23,"$1,700,000.00 ",Qualified,FM,0.6,Residential,1993,3892,$436.79 ,34.1888623,-83.9412984
243,08130 000006,5985 NACHOOCHEE TRL,6/30/23,"$858,000.00 ",Qualified,FM,0.43,Residential,1958,1470,$583.67 ,34.1917958,-83.9537649
244,11155 000075F,7533 CHESTATEE LN,6/30/23,"$350,000.00 ",Qualified,FM,1.62,Residential,1988,1794,$195.09 ,34.4130902,-83.9723386
245,09071 014004,5862 MCLEOD ST,6/30/23,"$280,000.00 ",Qualified,FM,0.38,Residential,2003,1452,$192.84 ,34.387377,-83.6711201
246,10024 000191,6007 MORNING STAR LN,6/30/23,"$456,365.00 ",Qualified,FM,0.28,Residential,2023,2696,$169.27 ,34.3486951,-83.9505072
247,10027 000037,5620 GRANT FORD RD,6/30/23,"$430,000.00 ",Qualified,FM,0.76,Residential,2006,1468,$292.92 ,34.3764364,-83.9550146
248,00133C000020,1146 VILLA CLARA WAY,6/30/23,"$345,000.00 ",Qualified,FM,0.18,Residential,2017,2020,$170.79 ,34.2688403,-83.8458309
249,01075A000044,1235 NE RIVERSIDE DR,6/30/23,"$242,000.00 ",Qualified,6,0.02,Residential,1969,986,$245.44 ,34.3199273,-83.8271084
250,15036D000024,3465 GILLELAND CIR,6/30/23,"$235,000.00 ",Qualified,FM,1.02,Residential,1973,1526,$154.00 ,34.2205183,-83.8447538
251,15047M000016,7150 LAKE EDGE DR,6/30/23,"$750,000.00 ",Qualified,FM,0.26,Residential,2020,3534,$212.22 ,34.151612,-83.9028061
252,08042A000108,4635 CRAWFORD OAKS DR,6/30/23,"$245,000.00 ",Qualified,FM,0.09,Residential,2001,1176,$208.33 ,34.2415698,-83.8915342
253,08041A000060,3730 OLD FLOWERY BRANCH RD,6/30/23,"$175,000.00 ",Qualified,6,0.11,Residential,1981,1024,$170.90 ,34.2531746,-83.8879877
254,10101A000063,4791 HIAWATHA DR,6/30/23,"$365,000.00 ",Qualified,FM,0.33,Residential,1993,2282,$159.95 ,34.3936178,-83.8896022
255,08158 002018,3825 CARTER RD,6/30/23,"$479,000.00 ",Qualified,FM,0.51,Residential,1940,1738,$275.60 ,34.1541542,-83.9586534
256,15047 001155,7143 BOATHOUSE WAY,6/29/23,"$610,000.00 ",Qualified,FM,0.28,Residential,2019,2867,$212.77 ,34.1457179,-83.897467
257,15028I000020,5662 HARMONY BND,6/29/23,"$459,900.00 ",Qualified,FM,1.49,Residential,1996,1961,$234.52 ,34.1447496,-83.8002872
258,09103A002080,3626 LAKEVIEW DR,6/29/23,"$300,000.00 ",Qualified,FM,0.28,Residential,2000,1472,$203.80 ,34.36841843,-83.75676284
259,15030F000022,6056 CANE CROSSING DR,6/29/23,"$298,500.00 ",Qualified,FM,0.2,Residential,1996,1258,$237.28 ,34.2116717,-83.7910833
260,12032 000051,5604 DIVINE LN,6/29/23,"$354,000.00 ",Qualified,FM,1.46,Residential,2015,1896,$186.71 ,34.4621641,-83.8038524
261,08023A000023,3728 SW HAMILTON CT,6/29/23,"$445,000.00 ",Qualified,FM,0.72,Residential,1987,2403,$185.19 ,34.2677927,-83.8802046
262,08065 000287,5127 WATCHMANS CV,6/29/23,"$490,000.00 ",Qualified,FM,0.16,Residential,2021,2194,$223.34 ,34.241957,-83.9102968
263,10081 000094,4144 GREENWOOD DR,6/29/23,"$325,000.00 ",Qualified,FM,0.5,Residential,1996,1216,$267.27 ,34.3604053,-83.8896022
264,08141 007027,6453 PARADISE POINT RD,6/29/23,"$790,000.00 ",Qualified,FM,1.18,Residential,1975,1128,$700.35 ,34.1825661,-83.9571235
265,10060 000152,3111 HIDDEN PASS,6/29/23,"$150,000.00 ",Qualified,FM,0.51,Residential,1986,1372,$109.33 ,34.3362085,-83.9155935
266,12041 000077,5829 SWEETBOTTOM LN,6/29/23,"$490,000.00 ",Qualified,FM,2.43,Residential,1991,2098,$233.56 ,34.4630707,-83.7970536
267,15047 000785,6932 BIG SKY DR,6/29/23,"$410,000.00 ",Qualified,FM,0.19,Residential,2015,2312,$177.34 ,34.1497157,-83.8994951
268,12108 000032,8845 SHALLOW CREEK TRL,6/29/23,"$330,000.00 ",Qualified,FM,1.29,Residential,2018,1867,$176.75 ,34.5032846,-83.7398145
269,01083 001144,925 NE BRENAU POINT DR,6/29/23,"$370,000.00 ",Qualified,FM,0.24,Residential,2003,2226,$166.22 ,34.3205304,-83.8103819
270,1.50E+73,4798 EAGLE WATCH DR,6/29/23,"$345,000.00 ",Qualified,FM,0.65,Residential,1996,1708,$201.99 ,34.1715039,-83.8884017
271,08111 003053,5614 CRICKET MELODY LN,6/28/23,"$422,000.00 ",Qualified,FM,0.18,Residential,2020,2908,$145.12 ,34.1971669,-83.9284609
272,10105 004041,3638 LEDAN RD,6/28/23,"$185,000.00 ",Qualified,FM,0.76,Residential,1962,1206,$153.40 ,34.3644797,-83.872586
273,12055 000043,5726 REDSTONE LN,6/28/23,"$582,700.00 ",Qualified,FM,4.08,Residential,2002,1595,$365.33 ,34.4559689,-83.7854856
274,15036C000290,3419 ABBEY WAY,6/28/23,"$335,000.00 ",Qualified,FM,0.05,Residential,2018,1686,$198.70 ,34.2211618,-83.853683
275,08056 003021,4742 BEN HILL DR,6/28/23,"$800,000.00 ",Qualified,FM,0.49,Residential,1960,3067,$260.84 ,34.2584347,-83.9172486
276,15014 000024,3828 CATO RD,6/28/23,"$275,000.00 ",Qualified,FM,0.47,Residential,1959,1696,$162.15 ,34.2436749,-83.7128357
277,15048F000007,6128 LIVE OAK DR,6/28/23,"$350,000.00 ",Qualified,FM,0.57,Residential,1999,1346,$260.03 ,34.1304534,-83.9005298
278,08099 000066,5202 BLAKE,6/28/23,"$401,000.00 ",Qualified,FM,0.1,Residential,2020,2180,$183.94 ,34.1981715,-83.9190278
279,10007 000067,6133 WESTCHESTER PL,6/28/23,"$475,000.00 ",Qualified,FM,0.59,Residential,2005,2760,$172.10 ,34.3571024,-83.968101
280,11130 000016,6437 YELLOW CREEK RD,6/28/23,"$389,900.00 ",Qualified,FM,1.54,Residential,1999,1885,$206.84 ,34.4239213,-83.9486047
281,15032E001007,1411 FLOYD CIR,6/28/23,"$90,000.00 ",Qualified,FM,0.8,Residential,1945,1700,$52.94 ,34.2874765,-83.7941032
282,10072 003068,2900 FRAN MAR DR,6/28/23,"$250,000.00 ",Qualified,FM,0.35,Residential,1976,2128,$117.48 ,34.3471976,-83.9011092
283,15039 000826,6025 WHITE SYCAMORE PL,6/27/23,"$438,000.00 ",Qualified,FM,0.21,Residential,2023,2791,$156.93 ,34.1291343,-83.8409263
284,08015 005011,4 CHERRY CIR,6/27/23,"$225,000.00 ",Qualified,FM,0.32,Residential,1957,1344,$167.41 ,34.2764921,-83.870845
285,10044 000098,3475 HICKORY LAKE DR,6/27/23,"$667,000.00 ",Qualified,FM,0.9,Residential,2006,3345,$199.40 ,34.314061,-83.93118
286,01040 001006,401 NW RIDGEWOOD AVE,6/27/23,"$525,000.00 ",Qualified,FM,0.27,Residential,1935,1215,$432.10 ,34.3064991,-83.83046
287,15022G000004,2571 SE LENOX DR,6/27/23,"$250,000.00 ",Qualified,FM,0.26,Residential,1998,1190,$210.08 ,34.2869979,-83.7815462
288,10024 000186,5931 BELAFONTE WALK,6/26/23,"$550,555.00 ",Qualified,FM,0.21,Residential,2023,3192,$172.48 ,34.3487489,-83.9517351
289,12040 000028,6040 CREEKSIDE VIEW LN,6/26/23,"$449,900.00 ",Qualified,FM,1.14,Residential,2019,2359,$190.72 ,34.4763433,-83.793799
290,15039 000809,5935 GREEN ASH CT,6/26/23,"$453,480.00 ",Qualified,FM,0.17,Residential,2022,2612,$173.61 ,34.1301406,-83.8403223
291,15007C000031,4954 MCKINLEY DR,6/26/23,"$310,000.00 ",Qualified,FM,0.37,Residential,1998,1217,$254.72 ,34.3588115,-83.6953555
292,10007 000083,5947 MANCHESTER LN,6/26/23,"$460,000.00 ",Qualified,FM,0.59,Residential,2022,2175,$211.49 ,34.35832,-83.965379
293,08112 009040,4894 CLARKSTONE DR,6/26/23,"$432,000.00 ",Qualified,FM,0.27,Residential,2019,1368,$315.79 ,34.1886608,-83.9183158
294,15041F000076,7212 IVEY LEAF LN,6/26/23,"$470,000.00 ",Qualified,FM,0.2,Residential,2004,1782,$263.75 ,34.1185945,-83.8702257
295,11036 000010A,4435 HAROLD WHELCHEL RD,6/26/23,"$514,900.00 ",Qualified,FM,0.49,Residential,2022,2672,$192.70 ,34.401401,-83.86614
296,15028C000022,3920 KILGORE FALLS DR,6/26/23,"$334,000.00 ",Qualified,FM,1.84,Residential,1986,1892,$176.53 ,34.1712825,-83.8062152
297,15048 001103,3359 FALL BRANCH LN,6/26/23,"$547,000.00 ",Qualified,FM,0.23,Residential,2021,3244,$168.62 ,34.1127969,-83.904921
298,08024 005197,4443 SW BIG ROCK RIDGE TRL,6/26/23,"$482,000.00 ",Qualified,FM,0.19,Residential,2019,3382,$142.52 ,34.2538215,-83.8740767
299,15046 000039D,5247 HOG MOUNTAIN RD,6/23/23,"$303,000.00 ",Qualified,FM,1.55,Residential,2017,2016,$0.00 ,34.1618795,-83.9251638
300,01104 002021,290 NE COCHRAN DR,6/23/23,"$387,000.00 ",Qualified,FM,0.4,Residential,1967,1371,$282.28 ,34.349231,-83.8493105
301,15046G000170,6383 FLAT ROCK DR,6/23/23,"$379,000.00 ",Qualified,FM,0.6,Residential,1994,2081,$182.12 ,34.1635918,-83.8929552
302,10082 000002A,3305 LADD DR,6/23/23,"$305,000.00 ",Qualified,FM,0.62,Residential,1986,1568,$194.52 ,34.3533423,-83.8969703
303,08137A000146,6309 WILMINGTON WAY,6/23/23,"$389,000.00 ",Qualified,FM,0.69,Residential,1999,1724,$225.64 ,34.1459399,-83.9369411
305,09066 016001A,6261 GROVE ST,6/23/23,"$267,000.00 ",Qualified,FM,0.17,Residential,1970,1177,$226.85 ,34.39503012,-83.65899098
306,15015B000110,2938 BRIDLE CT,6/23/23,"$330,000.00 ",Qualified,FM,0.88,Residential,2000,1372,$240.52 ,34.2696658,-83.744213
307,15041 000314,5968 VENTURA PL,6/23/23,"$672,500.00 ",Qualified,FM,0.2,Residential,2019,3487,$192.86 ,34.1085822,-83.8518787
308,08008 000016F,10 CAPRI TER,6/23/23,"$300,000.00 ",Qualified,FM,0.39,Residential,1988,1806,$166.11 ,34.2698955,-83.8479021
309,08099A000073,5617 NEWBERRY POINT DR,6/23/23,"$428,000.00 ",Qualified,FM,0.59,Residential,1998,2319,$184.56 ,34.2045593,-83.920869
310,08151 002106,5403 SUMMER SPRUCE PL,6/23/23,"$736,400.00 ",Qualified,FM,0.29,Residential,2023,3828,$192.37 ,34.1542264,-83.9488731
311,08113 001130,5465 TRILLIUM WAY,6/23/23,"$469,000.00 ",Qualified,FM,0.13,Residential,2020,2657,$176.51 ,34.1816987,-83.9228757
312,15041 000538,5651 VILLA CREST DR,6/23/23,"$461,730.00 ",Qualified,FM,0.13,Residential,2023,1636,$282.23 ,34.104223,-83.8611449
313,08140 000107,6434 SOUTH CREEK CT,6/23/23,"$540,000.00 ",Qualified,FM,0.28,Residential,1998,1998,$270.27 ,34.1799212,-83.9543943
314,11158A000216,7453 DOGWOOD TRL,6/23/23,"$290,000.00 ",Qualified,FM,0.28,Residential,2006,1506,$192.56 ,34.4158358,-83.9746122
315,15048G000009,3823 DARNELL CREEK CT,6/23/23,"$602,000.00 ",Qualified,FM,0.57,Residential,1999,3916,$153.73 ,34.1210244,-83.9296606
316,08031 004017,4610 SW BAGWELL DR,6/23/23,"$429,000.00 ",Qualified,FM,0.2,Residential,2016,2511,$170.85 ,34.2564171,-83.8779895
317,15048F000042,6334 CLEARBROOK DR,6/22/23,"$263,800.00 ",Qualified,FM,0.57,Residential,1999,1385,$190.47 ,34.1309741,-83.89488
318,10008 000109,5951 WELLINGTON AVE,6/22/23,"$515,000.00 ",Qualified,FM,0.77,Residential,2005,2820,$182.62 ,34.363612,-83.9669434
319,08026 000097,2745 SW VALLEY GREEN DR,6/22/23,"$278,000.00 ",Qualified,FM,0.02,Residential,2017,1592,$174.62 ,34.2425732,-83.8546537
320,08041A000029,3925 MOUNTAIN VIEW RD,6/22/23,"$190,000.00 ",Qualified,FM,0.11,Residential,1981,1024,$185.55 ,34.2538547,-83.8892293
321,15047 002211,6909 RIVER ROCK DR,6/22/23,"$571,446.00 ",Qualified,FM,0.14,Residential,2022,1790,$319.24 ,34.1483073,-83.9095105
322,15035A009001,4 K AVE,6/22/23,"$150,000.00 ",Qualified,FM,0.31,Residential,1926,1466,$102.32 ,34.2516016,-83.8392438
323,08130 000012,5984 NACHOOCHEE TRL,6/22/23,"$1,200,000.00 ",Qualified,FM,0.42,Residential,2007,1696,$707.55 ,34.1925359,-83.9538981
324,01087 001021,1383 NE RIVERSIDE DR,6/22/23,"$190,000.00 ",Qualified,FM,0.56,Residential,1950,1420,$133.80 ,34.3227285,-83.8283467
325,10029 000054,5411 LATHAM MANOR DR,6/22/23,"$319,000.00 ",Qualified,FM,0.89,Residential,2019,1380,$231.16 ,34.391407,-83.9478029
326,15032E001007B,1419 FLOYD CIR,6/22/23,"$120,000.00 ",Qualified,FM,0.52,Residential,1940,808,$73.17 ,34.287759,-83.79452
327,15043D000011,5144 ARTESIAN SPRING DR,6/22/23,"$450,000.00 ",Qualified,FM,0.33,Residential,1995,1816,$247.80 ,34.1585474,-83.8781551
328,08056 003025,4724 BEN HILL DR,6/22/23,"$970,000.00 ",Qualified,FM,0.52,Residential,1978,2508,$386.76 ,34.259271,-83.9162348
329,10152 000033,3754 NEWPORT DR,6/22/23,"$326,627.00 ",Qualified,FM,0.48,Residential,1987,2386,$136.89 ,34.3672081,-83.7989192
330,15039Q000032,6507 CHESTNUT WALK,6/21/23,"$425,000.00 ",Qualified,FM,0.16,Residential,2013,1533,$277.23 ,34.1337702,-83.8515059
331,08113 001012,5806 BRIDGEPORT CT,6/21/23,"$350,000.00 ",Qualified,FM,0.14,Residential,2005,1837,$190.53 ,34.1756658,-83.9216758
332,15048G000012,3853 DARNELL CREEK CT,6/21/23,"$533,000.00 ",Qualified,FM,0.59,Residential,2000,2568,$207.55 ,34.1219749,-83.9286646
333,01086 001024,1389 NE BURNS DR,6/21/23,"$455,000.00 ",Qualified,FM,1.01,Residential,1963,3392,$134.14 ,34.3255797,-83.8244722
334,10068 000005A,3279 DAVIS BRIDGE RD,6/21/23,"$260,000.00 ",Qualified,FM,2.36,Residential,1960,1972,$131.85 ,34.3104025,-83.9085173
335,1.50E+72,4687 EUCALYPTUS WAY,6/21/23,"$265,000.00 ",Qualified,FM,0.59,Residential,1999,1339,$197.91 ,34.176032,-83.8967633
336,08024 006211,4481 SW MILL OAK WAY,6/21/23,"$534,509.00 ",Qualified,FM,0.18,Residential,2022,3616,$147.82 ,34.2543887,-83.8680229
337,15047 000908,6823 SWALLOW TAIL LN,6/21/23,"$410,000.00 ",Qualified,FM,0.14,Residential,2013,1660,$246.99 ,34.152122,-83.898688
338,1.50E+08,3429 BELMONT HEIGHTS DR,6/21/23,"$345,000.00 ",Qualified,FM,1.05,Residential,2002,1308,$263.76 ,34.1848092,-83.7639194
339,15044L000080,3733 WINDSONG CHSE,6/21/23,"$274,400.00 ",Qualified,FM,0.22,Residential,2001,1276,$215.05 ,34.2064319,-83.8632686
340,08148 005007,6427 WINTER HARBOR DR,6/21/23,"$910,000.00 ",Qualified,FM,1.01,Residential,2019,2893,$314.55 ,34.173617,-83.969647
341,15039 000735,6012 HICKORY CREEK CT,6/21/23,"$480,000.00 ",Qualified,FM,0.45,Residential,2023,3308,$145.10 ,34.1298742,-83.842735
342,02024 000002C,6950 KEITH RD,6/21/23,"$209,000.00 ",Qualified,FM,4.51,Residential,1976,1530,$136.60 ,34.5103261,-83.7831634
343,08089 002055,5606 SPRUCE LN,6/21/23,"$456,250.00 ",Qualified,FM,0.92,Residential,2005,2079,$219.46 ,34.2208928,-83.9208483
344,01067 004004,817 NE MEMORIAL DR,6/21/23,"$552,500.00 ",Qualified,FM,0.43,Residential,1945,3373,$163.80 ,34.3121458,-83.8237263
345,08102 001017,6090 JIM CROW RD,6/20/23,"$750,000.00 ",Qualified,FM,0.74,Residential,1989,2486,$301.69 ,34.222693,-83.9397538
346,15039K000088,6115 LONGLEAF DR,6/20/23,"$353,000.00 ",Qualified,FM,0.04,Residential,2007,1218,$289.82 ,34.1257279,-83.8448366
347,10081 000103,4130 GLENWOOD DR,6/20/23,"$300,000.00 ",Qualified,FM,0.51,Residential,1996,1100,$272.73 ,34.3622528,-83.8911338
